channel,formats,branding,consideration,conversion
facebook,Static Image,8,8,7
facebook,Static Carousel,7,6,5
facebook,Video Carousel,7,5,4
facebook,Collection,6,4,5
facebook,Instant Experience,6,6,3
facebook,Instream video,9,7,6
facebook,Marketplace,3,4,5
facebook,Messenger,2,2,2
facebook,Story,7,4,2
instagram,Collection,8,5,4
instagram,Explorer,7,4,2
instagram,Static Carousel,6,6,3
instagram,Instream video,7,6,3
instagram,Story,8,4,2
instagram,Video Carousel,7,5,3
snapchat,Image,5,6,3
snapchat,Story,7,5,3
snapchat,Video,8,7,5
snapchat,Collection,8,8,7
tiktok,InFeed,10,7,6
tiktok,Takeover,8,4,4
tiktok,TopView,9,4,2
twitter,Text Ads,5,3,2
twitter,Image Ads with app button,3,3,2
twitter,Image Ads with conversation button,3,3,2
twitter,Image Ads with polls,3,3,2
twitter,Standalone image ads,5,3,2
twitter,Standalone video ads,5,3,2
twitter,Video ads with website button,6,3,2
twitter,Video ads with app button,6,3,2
twitter,Video ads with conversation button,6,3,2
twitter,Video Ads with polls,6,3,2
twitter,Carousel ads website,4,3,2
twitter,Carousel ads in app,4,3,2
linkedin,Conversation ads,3,5,3
linkedin,Message ads,3,5,2
linkedin,Video ads,6,4,2
linkedin,Spotlight ads,3,3,2
linkedin,Follower Ads,3,5,6
linkedin,Carousel Ads,4,3,2
linkedin,Text ads,5,4,2
linkedin,Single Image ads,6,5,2
linkedin,Event ads,4,4,3
linkedin,Lead Gen Forms,1,4,8
youtube,Trueview InStream,10,2,1
youtube,TrueView In Search,9,2,1
youtube,Trueview in Display,9,2,1
youtube,Masthead Ad,9,1,0
display,IAB Banners Targeting,8,7,2
display,IAB Banners Retargeting,4,9,8
display,Wallpaper,9,4,1
display,Video,7,7,1
amazon,IAB Banners Targeting,7,6,2
amazon,IAB Banners Retargeting,2,8,7
amazon,Video Amazon,8,2,1
amazon,Sponsored Ads,3,8,9
amazon,E-Commerce Ads,3,8,9
twitch,Premium Video,9,2,0
twitch,First Impression Takeover,7,1,0
twitch,Homepage Headliner,5,1,0
twitch,Super leaderboard,7,2,0
twitch,Medium rectangle,2,2,0
native ads,Banners,5,7,5
native ads,Video,8,5,1
native ads,In App,5,4,1
native ads,In Mail,2,2,0
search,Text Ads,4,9,10
search,Shopping ads,4,9,10
waze,Pin Ads,3,2,0
waze,Search Ads,3,2,0
waze,Takeover ads,3,2,0
waze,Arrow ads,3,2,0
connected tv,video,9,1,0
dooh,dooh,8,0,0
audio,Audio ad + companion banner,8,3,1
audio,Video Takeover,7,1,0
audio,Sponsored spots,7,1,0
in game advertising,Native In Game,9,0,0
in game advertising,Rewarded In App Video,8,0,0
in game advertising,Video,9,0,0