channel,GCC,KSA,UAE,KUWAIT,BAHRAIN,QATAR,OMAN
search,96,94,99,99,99,99,96
display,96,94,99,99,99,99,96
native ads,96,94,99,99,99,99,96
youtube,82,75,95,84,99,97,90
facebook,39,28,77,42,46,72,26
instagram,38,32,52,48,59,41,38
tiktok,70,68,87,75,60,79,38
snapchat,51,55,42,50,66,36,38
linkedin,28,19,70,22,33,44,17
amazon,65,34,194,0,0,0,0
twitter,37,40,32,37,42,39,21
waze,17,0,0,0,0,0,0
audio,61,59,70,60,62,67,60
twitch,6,6,6,0,0,0,0
connected tv,9,7.7,17.7,8,7,7.4,6
in game advertising,11,6.5,17.4,17.6,19.3,19.6,17
dooh,0,0,0,0,0,0,0